step,throughput_bps,rtt_us,cum_packet_loss
315,259200.00,180712.00,0
316,230400.00,179635.00,0
317,230400.00,179356.00,0
318,259200.00,184752.00,0
319,230400.00,183105.00,0
320,230400.00,180791.00,0
321,259200.00,179688.00,0
322,230400.00,179356.00,0
323,259200.00,179446.00,0
324,230400.00,179146.00,0
325,230400.00,179431.00,0
326,259200.00,184718.00,0
327,230400.00,189092.00,0
328,230400.00,190586.00,0
329,259200.00,185406.00,0
330,230400.00,181440.00,0
331,230400.00,179909.00,0
332,259200.00,184891.00,0
333,230400.00,189154.00,0
334,259200.00,184185.00,0
335,230400.00,181053.00,0
336,230400.00,179776.00,0
337,259200.00,184847.00,0
338,230400.00,189140.00,0
339,230400.00,184455.00,0
340,259200.00,181154.00,0
341,230400.00,179775.00,0
342,259200.00,179595.00,0
343,230400.00,185141.00,0
344,230400.00,183097.00,0
345,259200.00,180729.00,0
346,230400.00,179607.00,0
347,230400.00,179407.00,0
348,259200.00,184716.00,0
349,230400.00,183104.00,0
350,230400.00,180816.00,0
351,259200.00,179658.00,0
352,230400.00,179407.00,0
353,259200.00,179410.00,0
354,230400.00,179145.00,0
355,230400.00,179456.00,0
356,259200.00,184688.00,0
357,230400.00,189134.00,0
358,230400.00,190549.00,0
359,259200.00,185420.00,0
360,230400.00,181447.00,0
361,230400.00,179881.00,0
362,259200.00,184936.00,0
363,230400.00,189111.00,0
364,259200.00,184197.00,0
365,230400.00,181059.00,0
366,230400.00,179748.00,0
367,259200.00,184892.00,0
368,230400.00,189097.00,0
369,230400.00,184456.00,0
370,259200.00,181172.00,0
371,230400.00,179747.00,0
372,259200.00,179634.00,0
373,230400.00,185103.00,0
374,230400.00,183113.00,0
375,259200.00,180730.00,0
376,230400.00,179582.00,0
377,230400.00,179467.00,0
378,259200.00,184671.00,0
379,230400.00,183119.00,0
380,230400.00,180822.00,0
381,259200.00,179631.00,0
382,230400.00,179468.00,0
383,259200.00,179365.00,0
384,230400.00,179160.00,0
385,230400.00,179462.00,0
386,259200.00,184661.00,0
387,230400.00,189170.00,0
388,230400.00,190516.00,0
389,259200.00,185446.00,0
390,230400.00,181438.00,0
391,230400.00,179857.00,0
392,259200.00,184975.00,0
393,230400.00,189073.00,0
394,259200.00,184222.00,0
395,230400.00,181049.00,0
396,230400.00,179723.00,0
397,259200.00,184932.00,0
398,230400.00,189059.00,0
399,230400.00,184473.00,0
400,259200.00,181173.00,0
401,230400.00,179723.00,0
402,259200.00,179667.00,0
403,230400.00,185070.00,0
404,230400.00,183143.00,0
405,259200.00,180718.00,0
406,230400.00,179561.00,0
407,230400.00,179520.00,0
408,259200.00,184631.00,0
409,230400.00,183147.00,0
410,230400.00,180812.00,0
411,259200.00,179607.00,0
412,230400.00,179520.00,0
413,259200.00,179325.00,0
414,230400.00,179189.00,0
415,230400.00,179451.00,0
416,259200.00,184638.00,0
417,230400.00,189203.00,0
418,230400.00,190487.00,0
419,259200.00,185483.00,0
420,230400.00,181414.00,0
421,259200.00,179958.00,0
422,230400.00,185519.00,0
423,230400.00,189228.00,0
424,259200.00,190500.00,0
425,230400.00,191164.00,0
426,230400.00,191062.00,0
427,259200.00,191285.00,0
428,230400.00,191033.00,0
429,230400.00,185192.00,0
430,259200.00,181384.00,0
431,230400.00,179772.00,0
432,259200.00,179719.00,0
433,230400.00,185049.00,0
434,230400.00,183188.00,0
435,259200.00,180693.00,0
436,230400.00,179542.00,0
437,230400.00,179567.00,0
438,259200.00,184596.00,0
439,230400.00,183188.00,0
440,230400.00,180787.00,0
441,259200.00,179587.00,0
442,230400.00,179567.00,0
443,259200.00,179290.00,0
444,230400.00,179230.00,0
445,230400.00,179427.00,0
446,259200.00,184617.00,0
447,230400.00,189231.00,0
448,230400.00,190463.00,0
449,259200.00,185529.00,0
450,230400.00,181378.00,0
451,259200.00,179940.00,0
452,230400.00,185554.00,0
453,230400.00,189199.00,0
454,259200.00,190536.00,0
455,230400.00,191133.00,0
456,230400.00,191045.00,0
457,259200.00,191316.00,0
458,230400.00,191004.00,0
459,230400.00,185234.00,0
460,259200.00,181359.00,0
461,230400.00,179754.00,0
462,259200.00,179745.00,0
463,230400.00,185023.00,0
464,230400.00,183240.00,0
465,259200.00,180657.00,0
466,230400.00,179541.00,0
467,230400.00,179592.00,0
468,259200.00,184565.00,0
469,230400.00,183239.00,0
470,230400.00,180750.00,0
471,259200.00,179583.00,0
472,230400.00,179592.00,0
473,259200.00,179259.00,0
474,230400.00,179281.00,0
475,230400.00,179390.00,0
476,259200.00,184599.00,0
477,230400.00,189255.00,0
478,230400.00,190441.00,0
479,259200.00,185583.00,0
480,230400.00,181331.00,0
481,259200.00,179965.00,0
482,230400.00,185632.00,0
483,230400.00,189196.00,0
484,259200.00,190589.00,0
485,230400.00,191093.00,0
486,230400.00,191032.00,0
487,259200.00,191343.00,0
488,230400.00,190979.00,0
489,230400.00,185286.00,0
490,259200.00,181323.00,0
491,230400.00,179753.00,0
492,259200.00,179754.00,0
493,230400.00,185001.00,0
494,230400.00,183301.00,0
495,259200.00,180612.00,0
496,230400.00,179556.00,0
497,230400.00,179598.00,0
498,259200.00,184539.00,0
499,230400.00,183300.00,0
500,230400.00,180702.00,0
501,259200.00,179593.00,0
502,230400.00,179598.00,0
503,259200.00,179232.00,0
504,230400.00,179341.00,0
505,230400.00,179341.00,0
506,259200.00,184597.00,0
507,230400.00,189261.00,0
508,230400.00,190422.00,0
509,259200.00,185630.00,0
510,230400.00,181289.00,0
511,259200.00,179988.00,0
512,230400.00,185622.00,0
513,230400.00,189171.00,0
514,259200.00,190629.00,0
515,230400.00,191055.00,0
516,230400.00,191034.00,0
517,259200.00,191353.00,0
518,230400.00,190957.00,0
519,230400.00,185348.00,0
520,259200.00,181278.00,0
521,230400.00,179768.00,0
522,259200.00,179747.00,0
523,230400.00,184982.00,0
524,230400.00,183355.00,0
525,259200.00,180572.00,0
526,230400.00,179585.00,0
527,230400.00,179588.00,0
528,259200.00,184515.00,0
529,230400.00,183352.00,0
530,230400.00,180660.00,0
531,259200.00,179616.00,0
532,230400.00,179587.00,0
533,259200.00,179209.00,0
534,230400.00,179394.00,0
535,230400.00,179299.00,0
536,259200.00,184610.00,0
537,230400.00,189251.00,0
538,230400.00,190405.00,0
539,259200.00,185672.00,0
540,230400.00,181253.00,0
541,259200.00,180022.00,0
542,230400.00,185597.00,0
543,230400.00,189149.00,0
544,259200.00,190663.00,0
545,230400.00,191023.00,0
546,230400.00,191052.00,0
547,259200.00,191348.00,0
548,230400.00,190938.00,0
549,230400.00,185401.00,0
550,259200.00,181238.00,0
551,230400.00,179796.00,0
552,259200.00,179728.00,0
553,230400.00,184965.00,0
554,230400.00,183402.00,0
555,259200.00,180538.00,0
556,230400.00,179626.00,0
557,230400.00,179563.00,0
558,259200.00,184495.00,0
559,230400.00,183399.00,0
560,230400.00,180623.00,0
561,259200.00,179650.00,0
562,230400.00,179563.00,0
563,259200.00,179189.00,0
564,230400.00,179440.00,0
565,230400.00,179263.00,0
566,259200.00,184634.00,0
567,230400.00,189226.00,0
568,230400.00,190390.00,0
569,259200.00,185708.00,0
570,230400.00,181221.00,0
571,259200.00,180066.00,0
572,230400.00,185560.00,0
573,230400.00,189131.00,0
574,259200.00,190693.00,0
575,230400.00,190994.00,0
576,230400.00,191084.00,0
577,259200.00,191329.00,0
578,230400.00,190922.00,0
579,230400.00,185449.00,0
580,259200.00,181204.00,0
581,230400.00,179837.00,0
582,259200.00,179697.00,0
583,230400.00,184965.00,0
584,230400.00,183427.00,0
585,259200.00,180507.00,0
586,230400.00,179677.00,0
587,230400.00,179526.00,0
588,259200.00,184491.00,0
589,230400.00,183424.00,0
590,230400.00,180590.00,0
591,259200.00,179694.00,0
592,230400.00,179526.00,0
593,259200.00,179185.00,0
594,230400.00,179465.00,0
595,230400.00,179230.00,0
596,259200.00,184670.00,0
597,230400.00,189189.00,0
598,230400.00,190377.00,0
599,259200.00,185658.00,0
600,230400.00,181171.00,0
