step,throughput_bps,rtt_us,cum_packet_loss
396,259200.00,203121.00,0
397,230400.00,203221.00,0
398,230400.00,203221.00,0
399,259200.00,203085.00,0
400,230400.00,203321.00,0
401,230400.00,203129.00,0
402,259200.00,203205.00,0
403,230400.00,203221.00,0
404,259200.00,203085.00,0
405,230400.00,203321.00,0
406,230400.00,203129.00,0
407,259200.00,203178.00,0
408,230400.00,203158.00,0
409,230400.00,203070.00,0
410,259200.00,203303.00,0
411,230400.00,203112.00,0
412,230400.00,203221.00,0
413,259200.00,203209.00,0
414,230400.00,203082.00,0
415,259200.00,203307.00,0
416,230400.00,203113.00,0
417,230400.00,203222.00,0
418,259200.00,203209.00,0
419,230400.00,203082.00,0
420,230400.00,203321.00,0
421,259200.00,203122.00,0
422,230400.00,203192.00,0
423,230400.00,203158.00,0
424,259200.00,203091.00,0
425,230400.00,203308.00,0
426,259200.00,203106.00,0
427,230400.00,203256.00,0
428,230400.00,203193.00,0
429,259200.00,203102.00,0
430,230400.00,203312.00,0
431,230400.00,203113.00,0
432,259200.00,203234.00,0
433,230400.00,203193.00,0
434,259200.00,203102.00,0
435,230400.00,203312.00,0
436,230400.00,203113.00,0
437,259200.00,203198.00,0
438,230400.00,203138.00,0
439,230400.00,203092.00,0
440,259200.00,203293.00,0
441,230400.00,203098.00,0
442,230400.00,203256.00,0
443,259200.00,203183.00,0
444,230400.00,203103.00,0
445,259200.00,203297.00,0
446,230400.00,203099.00,0
447,230400.00,203256.00,0
448,259200.00,203183.00,0
449,230400.00,203103.00,0
450,230400.00,203312.00,0
451,259200.00,203107.00,0
452,230400.00,203215.00,0
453,230400.00,203138.00,0
454,259200.00,203121.00,0
455,230400.00,203285.00,0
456,259200.00,203093.00,0
457,230400.00,203286.00,0
458,230400.00,203169.00,0
459,259200.00,203131.00,0
460,230400.00,203289.00,0
461,230400.00,203099.00,0
462,259200.00,203261.00,0
463,230400.00,203169.00,0
464,259200.00,203131.00,0
465,230400.00,203289.00,0
466,230400.00,203099.00,0
467,259200.00,203215.00,0
468,230400.00,203121.00,0
469,230400.00,203127.00,0
470,259200.00,203270.00,0
471,230400.00,203085.00,0
472,230400.00,203286.00,0
473,259200.00,203160.00,0
474,230400.00,203137.00,0
475,259200.00,203273.00,0
476,230400.00,203086.00,0
477,230400.00,203287.00,0
478,259200.00,203160.00,0
479,230400.00,203137.00,0
480,230400.00,203289.00,0
481,259200.00,203094.00,0
482,230400.00,203235.00,0
483,230400.00,203121.00,0
484,259200.00,203162.00,0
485,230400.00,203250.00,0
486,259200.00,203081.00,0
487,230400.00,203313.00,0
488,230400.00,203148.00,0
489,259200.00,203170.00,0
490,230400.00,203252.00,0
491,230400.00,203086.00,0
492,259200.00,203284.00,0
493,230400.00,203148.00,0
494,259200.00,203170.00,0
495,230400.00,203252.00,0
496,230400.00,203086.00,0
497,259200.00,203229.00,0
498,230400.00,203106.00,0
499,230400.00,203174.00,0
500,259200.00,203236.00,0
501,230400.00,203075.00,0
502,230400.00,203313.00,0
503,259200.00,203140.00,0
504,230400.00,203182.00,0
505,259200.00,203239.00,0
506,230400.00,203076.00,0
507,230400.00,203313.00,0
508,259200.00,203140.00,0
509,230400.00,203182.00,0
510,230400.00,203252.00,0
511,259200.00,203082.00,0
512,230400.00,203252.00,0
513,230400.00,203106.00,0
514,259200.00,203197.00,0
515,230400.00,203218.00,0
516,259200.00,203085.00,0
517,230400.00,203321.00,0
518,230400.00,203129.00,0
519,259200.00,203205.00,0
520,230400.00,203221.00,0
521,230400.00,203076.00,0
522,259200.00,203304.00,0
523,230400.00,203129.00,0
524,259200.00,203205.00,0
525,230400.00,203221.00,0
526,230400.00,203076.00,0
527,259200.00,203242.00,0
528,230400.00,203092.00,0
529,230400.00,203215.00,0
530,259200.00,203207.00,0
531,230400.00,203081.00,0
532,230400.00,203321.00,0
533,259200.00,203122.00,0
534,230400.00,203222.00,0
535,259200.00,203209.00,0
536,230400.00,203082.00,0
537,230400.00,203321.00,0
538,259200.00,203122.00,0
539,230400.00,203222.00,0
540,230400.00,203221.00,0
541,259200.00,203085.00,0
542,230400.00,203252.00,0
543,259200.00,203088.00,0
544,230400.00,203250.00,0
545,230400.00,203191.00,0
546,259200.00,203102.00,0
547,230400.00,203312.00,0
548,230400.00,203113.00,0
549,259200.00,203234.00,0
550,230400.00,203193.00,0
551,230400.00,203082.00,0
552,259200.00,203307.00,0
553,230400.00,203113.00,0
554,259200.00,203234.00,0
555,230400.00,203193.00,0
556,230400.00,203082.00,0
557,259200.00,203240.00,0
558,230400.00,203081.00,0
559,230400.00,203250.00,0
560,259200.00,203181.00,0
561,230400.00,203102.00,0
562,230400.00,203312.00,0
563,259200.00,203107.00,0
564,230400.00,203256.00,0
565,259200.00,203183.00,0
566,230400.00,203103.00,0
567,230400.00,203312.00,0
568,259200.00,203107.00,0
569,230400.00,203256.00,0
570,230400.00,203193.00,0
571,259200.00,203102.00,0
572,230400.00,203236.00,0
573,259200.00,203077.00,0
574,230400.00,203281.00,0
575,230400.00,203167.00,0
576,259200.00,203131.00,0
577,230400.00,203288.00,0
578,230400.00,203099.00,0
579,259200.00,203261.00,0
580,230400.00,203169.00,0
581,230400.00,203103.00,0
582,259200.00,203297.00,0
583,230400.00,203099.00,0
584,259200.00,203261.00,0
585,230400.00,203169.00,0
586,230400.00,203103.00,0
587,259200.00,203224.00,0
588,230400.00,203071.00,0
589,230400.00,203281.00,0
590,259200.00,203158.00,0
591,230400.00,203136.00,0
592,230400.00,203288.00,0
593,259200.00,203094.00,0
594,230400.00,203287.00,0
595,259200.00,203160.00,0
596,230400.00,203137.00,0
597,230400.00,203289.00,0
598,259200.00,203094.00,0
599,230400.00,203287.00,0
600,230400.00,203169.00,0
